Geneid, SR10,SR09,SR18,SR13,SR16,SR07,SR17,SR14,SR15,SR12
148003,0,0,0,0,0,0,0,0,0,0
400696,4,7,87,27,0,1,0,2,0,0
56891,0,0,0,2,0,0,0,0,0,0
1178,0,0,0,4,1,1,0,0,0,0
342900,0,0,0,0,0,0,0,0,0,0
9149,654,488,934,975,429,505,389,703,468,319
102465974,1,0,0,0,0,0,0,0,0,0
2091,1545,1123,1134,1272,962,1541,4211,786,656,1079
8857,28,82,333,91,17,441,549,79,10,35
5704,1391,1859,2130,1339,1583,1381,1652,1445,959,1362
339327,133,120,125,137,81,161,149,155,57,66
163131,320,355,342,448,300,458,337,309,202,243
284323,300,314,390,280,282,328,336,339,162,156
4294,500,285,367,293,313,303,437,428,366,223
148014,0,0,0,1,0,0,4,4,2,1
79935,7,1,0,2,1,1,6,5,12,0
208,3915,2693,5334,5837,2474,2235,1952,3783,2285,2113
693226,5,0,3,3,2,9,9,8,3,6
126526,235,259,317,237,240,257,266,222,112,137
23646,14834,7867,17523,12757,15019,6982,5607,15847,13338,7185
102465477,0,0,0,1,0,0,0,0,0,0
147746,7,1,4,5,4,2,3,6,4,7
57716,306,255,320,326,332,272,270,204,137,84
29950,430,986,729,310,567,931,326,403,209,125
29946,481,845,1290,975,922,880,585,734,458,403
105372489,3,10,10,6,15,10,5,6,9,3
645,650,824,916,857,652,1011,1098,497,311,714
57731,484,328,349,578,196,312,252,352,242,246
92799,632,1337,1288,1534,1322,890,859,969,695,719
8425,12170,5625,20752,13432,4825,4764,13916,5925,2067,2889
9253,899,663,928,739,393,1029,721,732,407,591
79934,1061,824,651,902,455,859,691,556,497,637
80271,1310,647,1675,2007,781,481,582,738,530,389
284325,201,261,189,131,264,233,424,72,79,170
6626,738,928,1011,820,585,934,1486,682,460,643
8190,0,1,0,0,0,0,2,0,0,0
100529262,0,0,0,0,0,0,0,0,0,0
100529264,0,0,0,0,0,0,0,0,0,0
53916,0,0,0,0,0,0,0,0,0,0
112398,1,0,3,1,0,1,2,1,1,0
1548,1,0,0,0,0,0,0,0,0,1
1549,0,0,0,0,0,1,0,0,0,0
22952,0,0,0,0,0,0,0,0,0,0
1556,6,0,0,2,0,1,1,1,3,2
1555,0,0,0,0,0,0,0,0,0,0
1553,0,0,0,0,0,0,0,0,0,0
1572,0,0,0,0,0,0,0,0,0,0
105376908,0,1,0,4,1,0,0,0,0,1
29785,26,30,65,36,44,8,19,23,17,333
558,1439,226,2452,619,551,330,190,3021,1764,542
11100,6607,5604,7752,5343,7441,7254,6264,5029,3441,5202
90324,841,460,737,573,719,546,815,576,403,374
7040,2468,2366,5678,1319,1652,3539,1385,3646,2301,850
80776,37,113,103,85,86,78,75,82,75,72
641649,31,44,157,79,26,58,107,40,51,31
56915,134,348,201,179,176,210,224,163,99,249
593,650,515,957,547,633,805,861,512,416,556
374907,74,26,82,88,8,26,10,87,57,11
55101,546,593,705,625,493,483,930,393,307,353
100170765,0,0,0,0,0,0,0,0,0,0
100505495,20,11,7,4,1,7,6,18,20,1
101927931,0,0,0,0,0,0,0,0,0,0
90273,1,0,0,0,0,0,1,0,0,0
1089,3,0,1,0,0,0,0,0,0,0
1087,0,0,0,0,0,0,0,0,0,0
1048,0,0,1,0,0,0,0,0,0,0
4680,0,0,0,0,0,0,0,0,0,0
1084,5,0,6,2,1,0,8,1,1,3
147719,1,0,0,0,0,0,1,1,0,0
63946,0,0,0,0,0,0,0,0,0,0
6223,8593,9076,7728,7926,4058,4299,14622,5493,5051,4543
102465478,0,0,0,0,1,0,1,0,0,0
973,13,8,14,17,7,4,3,3,48,22
9138,1687,1062,1645,1214,1034,1256,1418,919,705,867
390937,4,2,6,1,3,7,14,3,1,3
10567,1002,818,1290,766,1296,661,952,1193,761,744
478,19,78,14,41,14,4976,268,12,9,418
2901,1072,216,1534,1086,532,975,124,1323,566,500
64763,320,335,410,415,390,502,358,306,183,233
5452,75,83,112,75,21,27,45,63,81,44
100505622,2,1,0,0,0,1,2,2,1,3
100422980,0,0,0,0,0,0,0,0,0,0
162989,510,661,768,632,385,502,555,417,312,374
116115,263,218,308,223,221,188,268,227,95,158
2931,1393,1627,2012,1441,1329,1232,1300,1331,1004,1139
2077,1039,952,1529,1254,1182,1293,1560,1055,810,788
23152,3162,1983,3406,4002,2269,2727,1922,2799,1905,1964
5050,158,92,141,167,157,214,663,87,65,87
284338,5,7,8,11,17,7,12,6,3,5
284339,5,8,7,21,39,73,193,16,14,27
1954,1924,1265,1730,1180,1927,1733,1809,1844,1048,1464
102465875,0,0,0,0,0,0,0,0,0,0
84518,1,15,1,1,6,24,3,8,1,2
101930071,7,5,9,8,7,4,7,5,1,2
100996307,7,6,12,16,17,20,10,14,13,6
3991,96,188,105,119,219,191,111,151,118,105
284340,0,1,0,1,2,0,0,0,0,0
634,80,571,120,310,211,77,31,42,44,157
1088,0,0,0,0,0,0,0,0,0,0
5671,0,0,0,0,0,0,2,0,0,2
440533,0,0,0,0,0,0,0,1,0,0
100289650,0,0,0,0,0,0,0,0,0,0
653492,0,0,0,0,0,0,1,0,0,0
5669,0,0,0,6,0,0,0,0,0,2
5675,0,0,0,0,0,0,0,0,0,0
5676,0,0,0,0,0,0,0,0,0,0
5680,0,0,0,0,0,0,1,0,0,0
5673,0,0,4,5,0,0,0,0,0,3
5670,0,0,1,1,0,0,1,0,0,0
5672,0,0,0,4,0,0,1,0,0,10
284344,0,1,0,11,0,3,0,0,0,6
5678,0,0,1,23,1,2,0,0,0,2
23574,0,0,0,0,0,0,0,0,0,0
57126,4,4,5,1,2,2,2,1,0,2
83639,0,1,0,0,0,0,1,2,1,1
27076,61,50,46,30,104,80,102,54,26,52
653583,559,159,238,218,362,229,151,202,124,138
23474,399,260,269,248,299,291,227,323,233,257
284346,93,55,62,41,55,48,17,55,89,63
7515,782,841,810,653,826,916,1711,643,496,576
390940,184,145,175,181,96,159,76,161,119,112
126298,520,235,556,378,514,368,509,465,300,269
79177,231,397,314,239,293,269,205,277,195,214
126299,430,689,602,452,684,511,604,483,337,532
100170229,8,5,7,7,2,6,28,2,1,3
199731,367,611,1444,72,1449,1232,965,1216,563,872
5329,92,87,91,68,131,207,1099,39,39,46
105372412,0,0,0,1,0,0,0,0,0,0
56269,0,0,0,0,0,0,0,0,0,0
56006,641,371,518,545,365,363,677,468,380,271
3783,15,10,43,34,8,18,17,5,18,34
284348,18,2420,1111,286,117,150,14,36,41,126
284349,46,88,112,76,61,89,84,89,58,44
342908,166,59,32,76,153,156,54,101,62,129
100505715,51,54,20,37,49,59,25,45,26,62
105376909,5,8,0,3,8,4,3,3,2,7
7596,415,480,456,447,477,419,426,461,237,202
7638,106,77,58,47,94,93,31,52,21,30
7711,137,105,194,124,110,121,103,104,58,78
101928063,16,15,10,15,20,21,23,17,7,15
7773,146,124,190,191,121,153,159,148,64,58
7673,103,60,106,89,103,115,160,103,51,37
7766,140,108,157,131,177,152,114,149,48,72
342909,61,52,50,64,83,71,73,74,27,24
7767,154,157,223,195,104,170,141,145,61,74
100379224,25,9,5,6,46,19,32,21,4,22
7768,195,163,191,188,185,184,196,171,104,111
10780,209,245,279,225,234,258,261,213,95,98
7769,470,374,515,380,429,439,531,436,241,185
7770,569,494,443,345,560,570,416,422,213,192
353355,78,93,6,11,63,80,11,43,5,67
9310,210,79,145,107,142,102,117,120,55,44
7771,157,207,196,167,234,224,143,177,86,120
26974,99,89,70,74,61,128,73,69,47,65
7772,322,131,64,236,224,362,478,145,137,127
7733,199,245,251,232,132,239,244,209,117,165
125931,0,0,0,0,0,0,0,0,0,0
388550,0,1,0,0,0,0,0,0,0,0
147710,0,0,0,12,0,0,2,0,0,0
5817,551,326,313,497,625,418,523,520,263,174
100616355,0,0,0,0,0,0,0,0,0,0
56971,36,5,30,48,7,15,20,35,29,16
388551,0,0,0,0,0,0,0,0,1,1
105372417,1,8,9,3,0,1,9,3,2,0
602,224,787,1510,382,129,281,746,470,505,135
102465879,0,1,3,0,0,1,7,1,2,0
23624,0,0,0,0,0,2,0,0,0,0
4059,307,712,358,915,818,861,564,471,402,275
5819,932,1399,1379,707,2500,1392,1138,956,648,808
10452,819,858,760,691,1019,983,1341,682,529,831
348,655,1737,909,1862,1523,192,1945,210,600,323
341,48,155,59,120,238,67,313,23,56,22
342,0,0,1,0,0,1,0,1,1,0
100533990,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0
1209,2730,2771,3169,2089,3246,2048,1964,2133,1716,1505
5971,395,446,390,201,162,278,286,370,524,205
11129,632,497,817,812,632,620,1009,475,299,375
162979,21,8,10,6,6,13,16,10,7,14
79760,144,238,184,176,258,168,246,157,140,121
284352,785,849,975,747,928,863,793,641,515,458
284353,2,2,0,2,57,19,38,1,1,4
79090,140,167,94,70,569,246,238,100,66,177
388552,282,380,368,272,1693,231,229,264,139,171
90332,108,6,7,8,35,28,115,49,72,12
57787,728,676,871,699,1125,661,970,751,593,455
1158,0,0,0,0,1,0,4,0,0,0
147700,34,25,19,17,77,43,68,24,19,9
2068,421,239,236,235,638,450,437,275,209,377
10848,57,66,132,75,204,409,227,49,39,80
10849,22,50,24,13,68,46,51,27,13,25
2067,934,767,1434,1176,617,822,1075,1089,817,774
102464836,0,0,0,0,0,0,0,0,0,0
2354,61,49,6,85,198,1070,1052,26,94,28
7234,0,0,0,0,0,0,0,1,0,0
6253,465,366,483,629,359,203,469,561,393,140
147699,9,10,87,240,2,9,54,25,5,10
7408,941,1397,1505,1390,1628,1266,1157,1229,891,942
80207,749,544,716,602,1450,761,698,641,442,453
2828,68,82,15,13,26,36,149,49,79,9
24139,417,664,755,345,506,472,263,521,348,224
442902,0,0,0,0,0,0,0,0,0,0
100287177,3,0,10,3,2,1,6,2,2,1
2696,1,0,5,3,11,77,15,2,0,2
693227,0,0,0,0,0,0,0,0,0,0
100500845,0,0,0,0,0,0,0,0,0,0
6633,2290,3281,1978,1682,1840,1831,3693,1736,1400,1890
54814,70,75,59,50,113,71,172,99,33,67
23403,165,204,199,244,212,238,326,167,157,123
388553,2,0,1,2,4,3,1,1,1,0
147912,1129,1064,1227,1001,403,956,808,1228,800,486
1760,3206,2013,4765,2479,1360,1556,785,4951,2910,1956
1762,1328,782,1688,1429,576,1061,754,1307,842,825
81492,0,0,0,0,0,2,0,0,0,0
8189,2198,2363,1800,1620,2036,1601,1299,1058,757,1041
3171,29,103,208,63,23,35,3,75,7,7
26145,764,851,1232,839,1023,847,841,778,494,588
339344,211,144,240,169,222,164,147,250,150,130
339345,0,0,0,0,0,0,0,0,0,0
4858,40,35,254,24,28,14,419,296,273,83
729440,165,166,260,220,194,294,197,154,137,224
768217,0,0,0,0,0,0,0,0,0,0
8993,1,2,0,2,0,2,2,0,0,2
444882,0,0,14,6,0,2,1,6,4,0
400706,0,0,20,54,0,2,0,10,12,7
147920,0,2,15,27,0,13,6,15,32,4
388555,0,0,0,2,0,0,1,0,0,0
645553,0,1,5,1,0,2,0,0,0,1
93429,3,2,24,28,0,6,18,11,10,2
374918,0,0,0,0,0,0,0,0,0,0
64344,844,99,696,3482,13,288,1975,738,427,97
5536,1312,1003,1650,1133,1277,1302,1387,1332,877,977
83987,1504,698,1609,1325,625,425,1396,1134,740,572
55228,3102,1662,4034,2472,2617,3463,1772,4794,2175,1828
100506012,23,10,12,29,9,12,9,14,21,29
57469,213,36,711,271,73,197,377,521,319,307
808,10989,7386,15312,14181,4387,6521,5280,17185,9588,5920
5739,782,5,19,381,6,6,33,1250,825,16
94235,20,0,1,4,0,1,82,24,0,0
147906,1568,58,1017,1160,66,60,2399,2481,1108,217
100506068,1,1,1,4,2,1,42,5,7,2
25865,1065,1351,1822,1196,937,725,1476,1017,570,393
100422913,0,0,1,1,0,2,1,0,0,0
29888,1752,1360,3147,2043,1960,1787,2380,2111,1436,1305
79147,612,553,673,704,505,393,568,620,513,222
6510,5615,240,5231,2677,623,2038,2621,3596,2573,272
100170220,0,0,0,0,0,0,0,0,0,0
1175,3664,2300,1864,1540,5131,2408,1910,2387,1644,2038
2909,2729,2185,3899,2928,2939,2638,2193,3539,1683,1988
4861,4,1,2,6,3,8,24,3,0,0
54958,151,218,150,162,258,208,324,145,103,133
23211,929,623,671,752,591,990,687,647,447,489
10055,2236,1648,2464,2652,1249,1949,2824,1784,1309,884
27113,174,348,314,245,92,292,98,133,124,119
100422899,1,0,1,0,0,0,0,0,0,0
100422832,0,0,0,0,0,0,0,0,0,0
26093,504,431,699,541,347,456,377,402,265,221
255783,338,168,541,442,238,486,324,1076,1005,376
728,225,108,205,173,113,98,1256,60,69,50
27202,9,6,15,45,5,6,54,5,2,9
9704,446,605,411,538,359,496,606,318,218,216
56917,625,209,610,261,26,31,805,646,377,867
6543,4,22,2,499,5,13,7,28,53,16
11133,65,37,63,89,105,100,358,67,44,45
100505681,5,14,18,20,14,29,20,12,7,8
8775,1705,2180,3986,2464,1872,1254,1242,2346,1526,1616
84215,28,2,5,9,49,53,23,4,1,8
29998,398,352,344,327,319,362,450,237,183,185
30846,4777,1752,4105,5333,3494,1298,1026,6299,4658,1999
29997,3685,2266,3118,3273,1460,3134,9823,2353,1795,1983
692091,1,3,3,2,0,2,13,0,0,1
6415,3499,5067,5369,4914,6074,3297,1400,6940,4900,3879
284355,0,0,0,0,0,0,0,0,0,0
1406,0,0,0,0,0,0,0,0,0,4
6822,1,0,1,0,1,0,0,0,0,0
100126800,0,0,0,0,0,0,0,0,0,0
100170223,0,0,0,0,0,0,0,0,0,0
100126798,0,0,0,0,0,0,0,0,0,0
100169951,0,0,0,0,0,0,0,0,0,0
100170218,0,0,0,0,0,0,0,0,0,0
100126799,0,0,0,0,0,0,0,0,0,0
100170219,0,0,0,0,0,0,0,0,0,0
100169959,0,0,0,0,0,0,0,0,0,0
100170226,0,0,0,0,0,0,0,0,0,0
100170225,0,0,0,0,0,0,0,0,0,0
100131137,0,0,0,0,0,0,0,0,0,0
64100,0,32,0,0,0,0,0,0,0,0
56344,0,0,0,0,0,0,0,0,0,0
8605,368,1921,672,509,674,453,73,821,486,650
3978,754,813,1487,672,840,1115,1382,281,268,316
374920,384,244,334,185,382,270,244,243,187,179
22900,786,801,637,663,1076,572,901,595,360,320
100505812,64,96,68,87,170,32,62,77,39,22
163071,3,1,5,3,2,24,64,1,1,0
93233,24,8,5,26,31,79,138,3,9,40
2014,2059,324,2319,1795,871,2331,1439,1296,919,500
55260,106,216,161,135,201,243,147,157,175,215
23546,0,2,0,0,0,1,2,0,0,1
10945,3580,3047,3230,2129,3683,3017,3982,2778,1983,1686
2906,16,25,20,31,193,37,152,29,4,21
83743,720,1107,706,677,854,591,525,607,401,666
3770,9,10,2,5,6,5,54,4,4,7
9266,1331,1743,2184,1441,2124,2228,1959,1120,832,890
114783,8,2,14,8,8,22,31,116,109,9
6820,1,0,2,3,6,9,5,7,4,3
54854,0,0,0,4,0,3,0,0,0,0
171169,0,0,0,0,0,0,0,0,0,0
6141,7411,8165,7050,7733,6102,6817,17591,6029,4894,6988
56848,564,848,770,726,858,345,355,579,414,423
1628,391,155,214,108,264,659,255,290,218,209
770,2650,903,1019,1302,2439,1402,471,1295,630,670
653677,11,4,7,1,1,7,4,3,5,1
126147,31,2,16,20,1,6,13,9,7,10
2524,5,14,6,8,6,15,37,10,2,15
284358,86,45,112,112,8,32,82,38,29,17
54922,96,138,33,34,30,68,423,135,128,36
284359,0,0,0,0,0,2,4,1,0,0
2523,10,10,12,7,8,10,58,13,15,1
26291,0,0,0,0,0,0,0,0,0,0
587,343,439,348,298,295,408,400,264,185,396
51171,20,82,194,115,471,197,450,172,86,285
57664,2049,1439,1547,1305,216,1827,806,1922,841,138
23645,380,288,583,392,334,945,2166,225,280,186
7288,27,2,2,6,0,15,36,14,18,2
4924,5666,4674,5268,3642,4487,3051,3389,5588,4862,4196
100874085,0,1,1,1,0,0,2,0,0,0
27294,2,22,7,5,5,40,30,4,0,9
581,675,871,713,599,391,568,611,468,576,471
2512,36386,72701,37001,24982,29421,57620,116568,26582,30911,17140
2997,1159,1072,1122,1161,1489,1810,1487,1482,915,992
10856,881,1151,969,806,833,1503,1433,797,598,987
102466738,0,0,0,0,0,0,0,0,0,0
3972,0,1,0,1,1,7,3,0,0,0
101059948,1,0,0,0,2,6,2,0,0,0
1082,0,0,0,2,0,0,0,0,0,0
100170228,0,0,0,0,0,0,0,0,0,0
114336,0,0,0,0,0,2,0,0,0,0
114335,0,0,0,0,0,1,0,0,0,0
100126780,0,0,0,0,0,1,0,0,0,0
93659,0,0,0,0,0,0,0,0,0,0
94115,0,0,0,0,0,0,0,0,0,0
94027,1,2,0,0,0,3,6,0,0,0
105376902,0,0,0,0,0,1,1,0,0,0
4909,0,6,0,0,0,7,3,0,0,1
3743,0,0,0,0,0,0,0,0,0,0
6625,2351,2221,3685,3420,1690,2517,3209,2331,1461,1915
64130,31,39,87,21,15,43,69,52,32,32
55150,2,11,5,5,1,5,7,10,3,5
8541,157,231,134,119,128,201,447,178,124,142
3270,12,7,7,2,4,1,14,8,9,3
54795,215,532,505,416,248,370,172,521,280,378
28968,20,56,29,30,61,116,70,26,10,55
100422979,2,2,0,1,3,2,2,0,0,0
951,314,189,277,178,69,116,201,126,150,94
8463,975,1654,3259,1998,1586,1889,1905,1349,1148,1215
27120,27,4,12,16,15,43,61,13,14,32
101928295,32,11,1,3,42,25,46,28,5,19
147872,0,0,0,0,1,26,22,0,0,2
100507003,0,1,0,0,5,31,0,0,0,2
113091,0,1,0,1,3,12,0,1,0,1
57030,3,2,0,2,34,5,27,5,4,4
55011,568,642,781,552,260,664,666,462,338,592
126133,448,728,535,460,557,565,831,300,255,604
2323,294,344,626,381,113,158,125,182,158,189
23521,22109,20579,20174,20566,8990,14394,42354,17104,12575,14723
26819,10,7,11,13,4,3,35,4,6,4
26818,3,1,1,4,0,0,4,1,4,1
26817,4,1,3,9,2,2,10,1,4,4
26816,4,5,5,10,3,4,11,2,1,4
6205,13676,17399,14144,14237,7486,9759,32119,11085,8678,12142
84546,6,2,16,21,8,1,18,6,6,3
406942,0,0,0,0,0,0,0,0,0,0
2217,2957,1960,3538,2738,1152,1229,4784,2779,1933,1518
57333,134,45,408,173,130,193,349,300,192,81
51070,561,701,757,529,545,540,1005,524,378,657
5639,7,11,2,3,24,12,15,1,2,3
57479,1209,1052,1394,1124,957,1046,1274,1095,771,905
6237,877,499,2522,715,640,447,627,1315,847,548
58506,1686,1758,2088,1517,1412,1637,1620,1383,1006,1084
3661,810,1042,1260,910,846,1194,718,530,411,518
83596,159,175,118,146,173,157,399,86,66,98
3276,2291,2350,2535,2120,1797,2053,3317,1873,1458,2193
100847074,0,0,0,0,0,0,0,0,0,0
199800,3,5,4,7,7,18,51,12,5,12
126129,412,445,1108,893,495,620,934,735,718,542
60385,0,32,0,3,0,0,59,1,1,2
160,2493,3466,3001,2068,2600,2214,2329,2236,1622,2173
102465479,1,0,0,0,0,0,0,0,0,0
80199,310,341,207,268,219,399,415,176,160,242
81857,518,591,937,711,590,691,635,586,409,631
102465480,0,0,0,0,0,0,0,0,0,0
100506033,0,1,1,0,1,0,4,1,0,3
53635,1148,1480,1830,1197,1070,1384,2375,977,738,1368
100616313,0,0,0,0,0,0,0,0,0,0
101928378,108,59,140,163,72,121,188,78,32,65
11284,562,344,691,581,450,514,557,414,279,255
84335,1019,1539,1740,1349,962,1148,1145,1310,952,998
79735,1062,824,1263,971,634,617,861,817,586,862
100616314,0,0,0,0,0,0,0,0,0,0
259307,62,77,136,46,23,139,676,16,76,75
23636,1206,1534,1581,1242,1017,1257,1492,1066,731,879
22809,211,325,389,283,241,1639,1228,308,212,197
100616483,0,0,0,0,0,0,0,0,0,0
114132,8,21,25,46,3,6,7,18,16,5
400709,6,5,9,10,2,1,12,16,6,3
51231,446,582,625,494,486,518,500,410,361,327
25888,157,298,259,227,165,365,375,180,103,179
400710,1,2,9,0,0,4,2,4,10,3
100287477,0,0,13,2,0,0,0,0,0,2
100169956,0,0,0,0,0,0,0,0,0,0
100191063,0,0,0,0,0,0,0,0,0,0
100169952,0,0,0,0,0,0,0,0,0,0
100169957,0,0,0,0,0,0,0,0,0,0
100169953,0,0,0,0,0,0,0,0,0,0
100169958,0,0,0,0,0,0,0,0,0,0
100169955,0,0,0,0,0,0,0,0,0,0
100170216,0,0,0,0,0,0,0,0,0,0
100169954,0,0,0,0,0,0,0,0,0,0
100170224,0,0,0,0,0,0,0,0,0,0
100170217,0,0,0,0,0,0,0,0,0,0
100170227,0,0,0,0,0,0,0,0,0,0
126123,0,0,0,0,0,0,0,0,0,0
